time,yaw,pitch,roll
0,-54.35,-4.13,-10.36
0.1,-53.33,-4.42,-10.31
0.201,-52.37,-5.06,-8.6
0.301,-51.63,-5.01,-8.07
0.401,-50.55,-5.08,-9.26
0.502,-48.58,-6.26,-6.98
0.602,-44.04,-6.57,-5.83
0.703,-40.38,-6.33,-6.53
0.803,-38.54,-5.78,-9.51
0.903,-38.67,-6.06,-8.33
1.004,-38.1,-5.79,-7.44
1.104,-38.66,-6.18,-7.39
1.204,-39.86,-5.52,-9.03
1.305,-42.06,-4.87,-8.7
1.405,-45.57,-4.05,-11.16
1.505,-49,-3.42,-11.28
1.606,-53.21,-3.55,-11.07
1.707,-56.88,-2.9,-15.16
1.807,-59.29,-2.72,-13.72
1.907,-61.11,-2.99,-12.07
2.007,-62.34,-3.21,-12.67
2.108,-62.54,-4.25,-12.94
2.208,-63.03,-4.78,-13.59
2.309,-63.78,-4.86,-11.82
2.409,-64.16,-4.7,-12.72
2.509,-64.58,-5.23,-12.3
2.61,-65.64,-5.88,-11.48
2.711,-66.29,-6.5,-10.87
2.811,-66.11,-6.91,-11.51
2.911,-66.03,-7,-11.52
3.012,-65.83,-6.97,-11.41
3.112,-65.88,-6.58,-11.23
3.212,-66.43,-6.41,-11.44
3.313,-67.5,-7.26,-9.23
3.413,-68.26,-7.56,-9.45
3.513,-68.08,-7.69,-9.76
3.614,-67.48,-7.39,-10.19
3.714,-66.92,-7.24,-10.85
3.815,-66.65,-7.54,-10.75
3.915,-66.65,-7.62,-10.79
4.016,-66.97,-7.56,-10.86
4.116,-67.11,-7.42,-11.06
4.217,-67.7,-7.42,-11.65
4.317,-67.99,-7.09,-11.91
4.417,-68.12,-6.23,-12.72
4.517,-68.28,-6.09,-12.29
4.617,-68.23,-5.96,-12.89
4.718,-68.71,-6.56,-12.63
4.818,-69.02,-6.63,-13.19
4.919,-69.14,-6.33,-13.26
5.019,-69.03,-6.02,-13.49
5.119,-68.86,-5.94,-13.29
5.22,-68.51,-6.42,-13.04
5.32,-68.39,-6.09,-14.01
5.421,-68.76,-7.13,-12.89
5.521,-69.04,-6.84,-13.53
5.622,-68.92,-6.84,-13.13
5.722,-68.8,-6.65,-13
5.822,-68.41,-6.55,-12.6
5.923,-68.1,-6.77,-11.83
6.023,-67.93,-6.91,-11.76
6.123,-67.6,-6.7,-11.4
6.224,-67.59,-6.55,-11.48
6.324,-67.77,-6.7,-11.11
6.424,-68.1,-6.62,-11.17
6.525,-68.49,-6.47,-11.5
6.625,-68.97,-7.31,-10.79
6.726,-68.53,-6.85,-11.6
6.826,-67.88,-6.79,-12.21
6.926,-67.85,-7.16,-12.55
7.027,-67.65,-7.58,-12.32
7.127,-67.52,-6.85,-12.99
7.228,-67.82,-6.88,-12.85
7.328,-68.29,-6.96,-12.68
7.428,-68.6,-7,-13.11
7.529,-68.53,-7.09,-13.57
7.629,-68.33,-7.07,-13.1
7.729,-68.21,-6.74,-12.82
7.83,-68.46,-6.74,-12.44
7.93,-68.7,-6.6,-12.11
8.031,-68.57,-6.87,-11.99
8.131,-69.06,-7.22,-11.62
8.231,-68.74,-7.2,-11.92
8.332,-68.45,-6.95,-11.76
8.432,-68.48,-6.87,-11.6
8.532,-68.52,-6.89,-11.4
8.633,-68.97,-6.9,-11.38
8.733,-69.03,-7.82,-10.3
8.834,-69.51,-7.74,-11.47
8.934,-69.09,-7.33,-12.98
9.035,-68.1,-6.83,-11.89
9.135,-67.22,-7.35,-10.96
9.235,-66.49,-7.62,-9.91
9.336,-65.7,-6.58,-12.29
9.436,-64.9,-5.68,-12.35
9.536,-64.34,-6.17,-12.19
9.637,-64.2,-5.44,-11.54
9.737,-63.55,-5.66,-10.61
9.838,-62.78,-5.64,-11.06
9.938,-62.99,-5.53,-10.93
10.038,-62.76,-5.09,-11.11
10.138,-63.55,-5.41,-11.05
10.239,-64.61,-5.88,-10.65
10.339,-65.6,-6.61,-10.93
10.44,-66.77,-6.47,-10.9
10.54,-66.91,-6.57,-11.24
10.641,-67.62,-7.52,-10.7
10.741,-68.98,-7.47,-11.12
10.842,-69.96,-7.27,-10.5
10.942,-70.32,-7.26,-10.43
11.042,-70.54,-7.14,-10.4
11.142,-70.37,-7.48,-9.03
11.243,-71.07,-7.96,-10.04
11.343,-71.59,-8.62,-9.79
11.443,-71.46,-7.54,-9.72
11.544,-71.17,-8.52,-5.47
11.644,-70.92,-7.28,-7.63
11.745,-70.65,-6.72,-8.82
11.846,-69.98,-6.47,-7.95
11.946,-69.15,-6.11,-9.1
12.046,-67.6,-5.56,-8.39
12.146,-66.38,-5.08,-9.53
12.247,-64.91,-5.17,-9.37
12.347,-63.1,-5.2,-9.22
12.448,-62.14,-5.45,-9.87
12.548,-61.48,-5.93,-10.31
12.648,-61.09,-6.18,-10.76
12.749,-60.81,-6.26,-10.23
12.849,-59.63,-6.32,-10.1
12.95,-59.65,-6.4,-10.95
13.05,-59.91,-5.85,-11.18
13.15,-59.89,-5.94,-10.66
13.251,-60.74,-6.26,-10.43
13.351,-60.88,-6.79,-10.39
13.451,-60.99,-7.77,-10.27
13.552,-60.66,-7.53,-11.02
13.652,-60.31,-7.19,-11.38
13.753,-60.6,-7.78,-11.87
13.853,-60.85,-7.32,-11.88
13.954,-61.35,-7.21,-11.7
14.054,-61.57,-7.26,-12.4
14.154,-61.52,-7.27,-11.84
14.254,-61.45,-6.93,-11.58
14.355,-61.51,-6.9,-11.12
14.455,-61.55,-7.01,-11.51
14.556,-61.24,-7.54,-10.58
14.656,-59.97,-7.46,-10.28
14.756,-58.42,-6.97,-11.05
14.857,-58.08,-7.25,-9.21
14.957,-57.84,-7.75,-9.21
15.058,-57.83,-7.92,-9.46
15.158,-58.23,-7.43,-10.67
15.258,-58.6,-7.44,-8.71
15.359,-58.77,-7.39,-10.06
15.459,-59.11,-8.04,-8.84
15.559,-58.64,-7.51,-10.22
15.659,-58.12,-7.24,-10.81
15.761,-58.44,-7.44,-10.59
15.861,-58.34,-7.46,-10.61
15.962,-58.99,-7.39,-10.9
16.061,-59.95,-7.59,-10.73
16.162,-59.86,-7.13,-11.14
16.262,-59.88,-6.78,-11.69
16.363,-59.92,-6.4,-12.22
16.463,-59.96,-6.25,-11.96
16.563,-59.97,-6.24,-11.69
16.664,-60.01,-6.78,-11.17
16.764,-59.97,-7.13,-11.17
16.864,-59.65,-6.94,-10.84
16.965,-59.47,-7.31,-11.15
17.065,-59.25,-7.16,-11.64
17.166,-59.32,-7.33,-11.58
17.266,-59.8,-7.6,-11.01
17.367,-59.91,-7.7,-10.57
17.467,-59.36,-7.94,-10.74
17.567,-59.37,-7.76,-10.27
17.668,-59.74,-7.86,-10.94
17.768,-59.79,-7.09,-10.77
17.868,-59.7,-6.73,-10.82
17.969,-59.76,-6.49,-11.15
18.069,-59.8,-6.58,-11.18
18.17,-60,-6.61,-11.33
18.27,-60.31,-6.48,-10.35
18.37,-59.79,-6.85,-9.7
18.471,-59.84,-6.48,-11.05
18.571,-59.48,-6.94,-9.44
18.671,-59.1,-7.15,-9.64
18.772,-58.85,-7.33,-9.53
18.872,-58.34,-7.28,-9.82
18.973,-58.18,-6.88,-10.13
19.073,-58.57,-6.35,-10.3
19.174,-58.47,-6.03,-9.99
19.274,-58.78,-5.84,-10.5
19.374,-59.27,-6,-9.94
19.475,-59.26,-5.72,-9.89
19.575,-59.18,-5.5,-10.44
19.675,-59,-5.34,-10.17
19.776,-59.19,-4.89,-10.14
19.876,-58.9,-5.02,-9.39
19.977,-58.58,-4.75,-9.4
20.077,-58.51,-4.79,-8.81
20.177,-58.47,-4.85,-8.61
20.278,-58.42,-4.83,-8.15
20.378,-58.59,-5.15,-7.84
20.478,-58.92,-5.15,-8.04
20.579,-59.09,-4.83,-7.84
20.679,-59.34,-5.3,-7.98
20.78,-59.29,-4.96,-8.12
20.88,-58.98,-4.42,-8.29
20.98,-58.88,-4.39,-8.8
21.081,-58.99,-4.28,-9.51
21.181,-59.33,-4.37,-9
21.281,-59.16,-4.94,-8.23
21.382,-58.65,-4.9,-8.37
21.482,-58.33,-4.64,-8.35
21.583,-57.79,-4.46,-8.24
21.683,-57.5,-4.75,-8.4
21.783,-57.3,-4.69,-8.99
21.884,-57.22,-4.99,-9.06
21.984,-57.48,-4.96,-9.48
22.085,-57.68,-4.57,-9.55
22.185,-58.01,-4.08,-9.88
22.285,-58.3,-3.73,-9.72
22.386,-58.47,-3.78,-9.9
22.486,-58.55,-4.19,-10.1
22.586,-58.63,-4.06,-10.3
22.687,-58.48,-3.84,-10.35
22.787,-58.71,-3.56,-10.64
22.888,-58.56,-3.54,-10.11
22.988,-58.36,-3.72,-10.23
23.089,-58.35,-3.84,-9.86
23.189,-58.19,-3.97,-10.62
23.289,-58.39,-4.31,-9.84
23.39,-57.99,-4.6,-9.96
23.49,-57.27,-4.68,-10.51
23.59,-57.26,-4.68,-10.84
23.691,-56.94,-5.08,-9.33
23.791,-56.52,-5.39,-9.36
23.891,-56.41,-5.9,-8.73
