time,yaw,pitch,roll
0,-162.3,32.97,-7.73
0.091,-165,33.07,-3.8
0.19,-174.42,34.42,-0.05
0.292,173.56,32.54,4.47
0.389,168.13,31.48,3.89
0.488,161.59,35.84,-12.42
0.588,157.7,44.64,-40.41
0.69,167.86,50.35,-81.91
0.787,178.24,40.6,-122.44
0.89,178.7,21.52,-152.06
0.99,167.68,12.73,-157.56
1.089,156.09,14.29,-154.25
1.189,148.72,14.55,-154
1.289,146.06,13.3,-157.09
1.389,145.35,11.42,-160.07
1.489,144.97,11.04,-161.69
1.589,144.83,11.73,-161.11
1.688,144.52,12.3,-158.95
1.788,144.96,14.15,-157.49
1.888,145.22,15.49,-156.67
1.988,145.98,15.78,-158.2
2.088,146.28,17.07,-158.63
2.187,146.2,17.08,-158.26
2.287,146.32,17.33,-159.24
2.383,146.46,18.35,-160.16
2.486,146.3,16.89,-160.77
2.586,145.98,16.37,-160.32
2.685,145.84,15.68,-160.37
2.785,145.82,14.68,-160.42
2.886,146.18,12.11,-161.06
2.984,146.16,11.9,-161.01
3.084,147.21,11.33,-159.58
3.185,148.13,9.62,-160.91
3.284,146.24,6.62,-162.65
3.382,147.24,7.67,-163.42
3.482,149.89,10.53,-164.59
3.584,149.06,10.79,-164.77
3.683,146.23,8.42,-164.38
3.783,144.72,8.08,-163.53
3.883,144.26,7.21,-163.33
3.981,143.64,3.98,-162.71
4.075,142.58,2.13,-163.26
4.174,143.35,3.51,-164.34
4.275,144.01,5.55,-165.22
4.374,142.78,5.63,-165.48
4.474,142.59,6.75,-165.28
4.577,143.12,7.53,-165.58
4.676,142.47,6.67,-166.64
4.776,142.47,6.15,-165.81
4.876,142.79,5.74,-165.68
4.976,142.95,5.12,-166.5
5.076,143.03,4.39,-167.45
5.175,143.13,4.49,-167.15
5.275,143.2,4.88,-167.33
5.375,143.32,6.11,-166.66
5.475,143.69,6.38,-166.78
5.574,144.36,7.91,-167.17
5.674,144.73,9.51,-168.02
5.774,144.89,12.16,-167.62
5.874,144.88,15.16,-166.5
5.974,145.32,15.25,-165.51
6.073,145.15,15.07,-165.95
6.173,145.4,14.23,-167.3
6.273,145.27,12.37,-167.15
6.373,145.06,11.18,-167.29
6.473,145.21,9.91,-166.67
6.572,144.99,9.35,-167.18
6.672,144.39,7.62,-167.88
6.772,144.58,7.91,-167.87
6.872,145.51,7.67,-168.97
6.971,145.64,8.72,-169.02
7.071,145.78,9.25,-170.29
7.171,146.53,11.14,-170.97
7.271,147.65,13.04,-171.82
7.375,148.07,13.94,-172.63
7.475,148.06,14.47,-173
7.575,147.61,14.67,-172.82
7.674,146.83,13.76,-172.22
7.775,146.04,12.34,-171.55
7.875,145.87,11.37,-171.64
7.973,146.46,10.96,-172.15
8.069,146.78,11.48,-171.8
8.171,147.24,11.89,-172.31
8.269,148.3,13.5,-172.56
8.367,149.07,13.65,-174.32
8.469,149.12,12.7,-175.25
8.579,149.05,14.28,-174.63
8.679,149.36,14.14,-175.97
8.778,148.65,13.16,-175.11
8.877,147.67,11.84,-174.33
8.977,147.08,10.74,-173.67
9.078,146.61,10.03,-173.05
9.177,146.52,9.46,-173
9.277,146.56,9.58,-172.19
9.379,146.73,9.45,-172.01
9.477,146.51,8,-171.87
9.576,146.32,7.47,-171.18
9.676,146.72,8.22,-170.44
9.776,147.07,8.42,-171.08
9.876,147.34,8.2,-172.39
9.976,148.01,9.28,-173.08
10.076,148.2,8.73,-174.66
10.176,148.41,8.69,-173.91
10.275,148.26,9.14,-175.08
10.375,147.88,8.41,-175.3
10.475,147.05,8.22,-173.36
10.575,146.52,8.86,-172.36
10.675,146.26,8.53,-171.31
10.774,145.98,7.7,-171.57
10.874,146,7.84,-170.52
10.973,146.31,7.83,-171.49
11.073,146.41,6.75,-171.47
11.173,146.47,6.87,-172.29
11.273,146.6,7.06,-171.81
11.373,146.65,7.14,-172.54
11.473,146.84,6.7,-171.09
11.572,146.64,6.67,-172.41
11.673,146.75,8,-171.48
11.772,146.51,8.18,-171.89
11.871,146.64,9.6,-171.61
11.974,146.9,9.62,-170.43
12.061,147.18,9.62,-171.5
12.161,147.77,10.56,-172.75
12.262,148.24,11.6,-172.44
12.356,148.65,15.05,-173.77
12.461,149.33,17.48,-175.24
12.56,148.98,18.63,-176.31
12.66,149.48,20.14,-177.78
12.761,150.36,21.22,-178.58
12.861,150.34,20.74,-178.83
12.961,149.3,20.21,-178.83
13.061,149.01,20.66,-179.01
13.159,148.53,20.58,-177.92
13.26,148.09,19.8,-178.84
13.36,147.95,21.15,-178.01
13.459,148.47,22.52,-177.52
13.558,149.15,22.05,-179.31
13.657,149.73,21.73,179.27
13.754,148.98,20.41,179.94
13.858,148.37,18.97,-179.69
13.958,147.58,17.88,-179.12
14.058,146.68,16.75,-178.22
14.157,146.14,16.92,-178.06
14.257,145.91,17.88,-177.65
14.357,146.19,17.45,-177.19
14.457,146.02,15.89,-176.53
14.556,146.11,15.43,-176.16
14.656,146.99,14.44,-176.64
14.756,147.23,11.48,-175.6
14.856,148.09,10.22,-175.22
14.954,149.19,9.51,-175.39
15.054,150.47,9.61,-175.11
15.155,149.57,7.98,-174.27
15.255,149.58,7.93,-173.68
15.355,149.49,6.5,-172.59
15.454,148.94,6.08,-173.01
15.555,149.28,7.15,-173.46
15.653,149.25,5.87,-174.1
15.754,149.12,5.98,-174.76
15.853,149.43,7.01,-173.44
15.952,149.57,7.14,-174.6
16.054,149.13,6.14,-174.72
16.152,149.15,7.5,-173.69
16.252,149.77,8.47,-173.82
16.351,150.66,9.38,-175.23
16.452,151.52,8.53,-176.24
16.556,151.69,8.27,-176.57
16.656,150.86,7.55,-175.57
16.756,150.02,5.6,-175.91
16.853,150.04,5.45,-176.13
16.955,149.61,5.83,-177.05
17.055,149.18,6.67,-178.13
17.155,149.07,10.39,-178.21
17.254,147.47,10.71,-176.66
17.354,146.93,6.68,-174.86
17.454,146.48,5.51,-175
17.554,146.49,6.5,-175.73
17.653,146.89,8.06,-177.2
17.753,147.28,8.7,-178.17
17.854,147.86,9.65,-177.68
17.953,148.57,10.26,-177.43
18.054,149.35,9.61,-178.66
18.152,149.48,8.41,-179.56
18.253,149.55,9.1,-178.14
18.352,149.71,9.83,-178.16
18.45,149.74,10.08,-178.46
18.551,149.8,9.86,-178.39
18.65,149.86,10.78,-178.13
18.751,150.14,11.18,-178.06
18.85,150.46,11.16,-177.36
18.951,150.98,10.94,-178.95
19.05,151.22,10.02,-178.77
19.15,150.93,9.33,-178.46
19.25,150.57,9.68,-178.34
19.35,150.34,9.97,-176.8
19.449,150.58,10.48,-175.85
19.55,150.93,11.29,-176.41
19.648,151.3,11.35,-177
19.748,151.92,12.11,-177.5
19.848,152.57,12.26,-178.79
19.948,153.14,12.66,-178.54
20.046,153.78,11.99,-179.41
20.144,154.41,12.32,179.19
20.238,154.73,11.92,178.6
20.339,154.44,11.72,179.27
20.443,153.63,12.31,-179.51
20.547,152.99,12.76,-177.79
20.645,152.66,12.49,-176.67
20.744,152.77,12.31,-177.02
20.845,153.09,12.58,-177.58
20.946,153.36,12.5,-178.25
21.045,153.6,12.8,-177.88
21.145,154.03,13.15,-178.31
21.245,154.55,13.66,179.99
21.345,154.57,14.51,-179.81
21.445,154.38,14.28,-179.22
21.544,154.33,14.76,-178.03
21.645,154.56,14.87,-177.52
21.744,155.01,14.1,-178.2
21.844,155.05,13.57,-178.05
21.944,154.97,13.1,-178.33
22.043,155.1,13.86,-177.14
22.144,155.55,13.84,-177.66
22.243,156.63,14.41,-178.94
22.343,157.25,14.04,179.88
22.443,157.15,12.96,-179.79
22.543,156.96,13.27,179.33
22.642,157.04,14.1,179.2
22.742,157.38,15.61,179.65
22.836,158.18,16.64,179.39
22.939,157.72,16.42,179.61
23.041,157.34,16.28,179.43
23.141,156.7,16.6,179.45
23.242,156.17,15.44,-179.71
23.341,155.45,13.69,-178.97
23.44,155.96,13.2,-178.87
23.54,156.91,13.31,-178.82
23.64,156.58,11.04,-179.42
23.74,155.56,9.48,-179.14
23.84,155.07,8.7,-178.66
23.94,155.14,9.59,-178.59
24.038,154.6,9.57,-178.5
24.139,154.56,10.3,-178.02
24.239,155.46,11.62,-177.39
24.337,156.16,12.18,-177.39
24.439,156.73,11.21,-178.58
24.538,156.89,12.07,-179.2
24.636,157.03,12.13,-179.62
24.737,156.46,11.18,-177.63
24.837,156.42,11.75,-175.27
24.936,156.49,11.67,-175.39
25.033,156.12,10.2,-175.92
25.136,155.64,9.59,-174.64
25.236,155.09,9.79,-172.71
25.336,154.48,9.76,-172.42
25.436,154.24,9.72,-173.2
25.531,154.53,11.2,-172.56
25.63,155.61,12.34,-173.81
25.731,156.02,11.71,-175.43
25.829,156.01,11,-176.9
25.928,155.5,10.75,-177.1
26.03,154.84,11.49,-176.28
26.137,153.91,9.39,-174.1
26.236,153.95,8.9,-174.55
26.334,154.26,9.14,-176.17
26.436,154.16,9.52,-177.15
26.536,154.4,9.47,-177.58
26.635,155.12,10.61,-177.54
26.736,155.33,10.13,-179.51
26.835,152.53,10.64,179.49
26.935,147.04,12.71,-178.35
27.035,140.87,15.38,-172.65
27.134,136.12,14.88,-168.47
27.234,133.37,14.18,-164.86
27.334,130.9,14.88,-159.33
27.434,122.62,19.28,-133.72
27.534,109.69,20.47,-87.64
27.633,100.53,19.43,-47.63
27.733,92.22,14.34,-17.96
27.832,92.48,12.61,-6.58
27.933,91.14,11.21,5.13
28.033,90.83,10.67,8.22
28.132,90.82,10.38,6.31
28.231,89.98,9.97,9.02
28.331,89.52,9.4,9.65
28.432,90.4,9.96,6.25
28.531,91.38,9.89,4.09
28.631,94.65,7.18,0.45
28.731,97.71,4.42,0.77
28.83,101.33,0.26,1.84
28.93,104.14,-6.41,5.63
29.03,104.18,-8.18,7.25
29.13,103.94,-7.95,7.86
29.23,104.23,-8.4,8.73
29.329,105.54,-7.74,9.17
29.43,106.1,-7.83,8.82
29.526,106.72,-6.77,9.18
29.629,107.54,-5.68,8.85
29.729,108,-5.07,8.8
29.828,107.46,-5.29,8.63
29.928,108.27,-4.36,8.66
30.028,108.64,-3.98,9.38
30.123,109.28,-3.07,9.04
30.227,109.23,-3.31,8.34
30.328,109.49,-3.21,7.88
30.427,109.09,-4.26,7.19
30.528,108.62,-4.48,7
30.627,108.78,-4.92,6.47
30.728,108.58,-4.16,6.3
30.826,108.7,-3.07,6.48
30.926,109.07,-2.14,6.75
31.026,109.65,-1.86,6.47
31.126,110.08,-0.91,6.31
31.226,110.4,-0.16,6.35
31.325,110.57,-0.3,6.34
31.424,110.81,-0.83,5.44
31.524,110.6,-1.57,4.3
31.623,110.05,-2.56,4.03
31.722,109.11,-3.88,3.81
31.817,108.77,-4.31,3.44
31.917,108.7,-4.55,3.46
32.016,108.62,-4.19,3.28
32.112,108.46,-4.7,2.72
32.216,108.51,-4.78,1.98
32.315,108.02,-5.25,1.71
32.424,108.02,-5.21,1.87
32.524,107.9,-5.29,1.9
32.624,108.1,-5.14,2.13
32.723,108.41,-5.17,2.68
32.823,109.01,-3.34,3.31
32.923,109.25,-2.97,4.14
33.023,109.27,-3.36,5.15
33.121,108.88,-3.73,4.57
33.221,108.76,-3.78,5.01
33.322,108.59,-4.28,5.45
33.42,107.78,-4.65,5.61
33.522,107.22,-4.43,6.1
33.621,106.87,-4.41,6.12
33.721,107.34,-2.9,7.02
33.818,108.07,-1.97,7.01
33.917,108.49,-1.29,6.75
34.02,108.5,-1.37,6.34
34.118,108.27,-1.87,5.64
34.219,107.85,-2.34,5.65
34.319,107.41,-2.73,5.73
34.418,107.65,-2.62,5.94
34.518,107.96,-2.18,5.93
34.619,108.48,-1.83,5.51
34.718,108.94,-1.25,5.22
34.817,109.03,-1.47,4.63
34.918,108.86,-2.23,4.36
35.017,108.97,-2.89,3.74
35.117,108.95,-3.33,3.53
35.217,108.95,-3.49,3.31
35.317,108.99,-3.47,3.1
35.417,108.89,-3.74,2.99
35.517,108.92,-3.34,2.73
35.616,109.08,-2.6,2.56
35.716,108.79,-2.88,2.15
35.805,108.79,-2.8,1.8
35.908,108.13,-3.69,1.48
36.008,107.16,-4.57,1.68
36.104,107.18,-3.82,1.72
36.207,107.14,-3.74,2.19
36.308,107.81,-2.67,3
36.411,108.75,-2.19,3.81
36.511,109.98,-1.1,3.84
36.611,110.29,-1.37,3.42
36.711,110.56,-1,2.35
36.81,110.09,-2.43,2
36.91,110.11,-2.52,1.42
37.01,109.82,-3.32,0.44
37.11,108.76,-4.82,0.68
37.209,108.6,-4.5,0.7
37.308,108.6,-5.34,0.63
37.409,108.78,-4.25,1.01
37.509,109.53,-2.79,1.08
37.608,109.48,-2.06,1.73
37.708,109.54,-1.63,2.03
37.808,109.45,-1.28,2.33
37.907,109.45,-1.24,2.5
38.006,109.1,-1.81,2.79
38.106,109.09,-2.38,2.82
38.206,109.02,-2.92,2.69
38.306,108.81,-3.19,2.92
38.406,108.23,-4.19,3.3
38.507,108.11,-3.89,3.47
38.606,108.18,-3.9,3.72
38.706,108.45,-2.68,3.86
38.805,108.5,-2.12,4.01
38.905,108.46,-1.53,4.06
39.004,108.84,0.12,4.23
39.105,109.49,2.07,4.67
39.205,109.27,2.2,4.78
39.303,108.8,1.78,4.72
39.404,107.98,0.71,4.96
39.504,107.02,-0.55,5.12
39.604,106.51,-0.99,5.78
39.704,106.56,-0.77,5.99
39.797,106.02,-1.5,6.18
39.897,105.99,-2.55,5.36
39.999,106.41,-3.63,3.9
40.096,106.92,-3.86,3.38
40.197,106.98,-4.43,3.27
40.297,106.99,-4.81,3.55
40.407,106.65,-5.17,4.2
40.506,106.65,-5.36,4.38
40.606,106.77,-5.39,3.67
40.706,106.8,-6.1,3.08
40.806,106.99,-6.64,1.94
40.907,107.2,-6.43,0.74
41.006,107.47,-7.03,0.17
41.105,106.97,-8.77,-0.73
41.204,106.94,-9.5,-0.94
41.305,106.58,-10.42,-1.82
41.404,106.34,-9.9,-2.03
41.503,106.26,-9.07,-1.98
41.603,106.29,-7.16,-1.24
41.704,106.63,-4.31,-0.86
41.803,107.72,-0.73,-0.39
41.903,108.89,2.27,0.76
42.003,109.05,1.46,0.52
42.103,108.42,-1.74,-3.08
42.202,107.11,-6.28,-4.33
42.303,106.53,-8.77,-7.35
42.403,105.68,-11.21,-7.97
42.503,103.96,-12.71,-9.24
42.602,103.68,-11.46,-8.51
42.702,103.86,-8.81,-7.18
42.802,104.91,-5.53,-7.22
42.901,105.22,-3.65,-6.92
43.001,105.01,-3.28,-6.14
43.101,104.24,-2.78,-5.24
43.2,104.8,-1.17,-4.26
43.3,105.18,-0.38,-4.4
43.399,105.03,0.8,-3.29
43.5,105.35,1.07,-2.9
43.599,106.12,2.24,-2.21
43.699,106.9,4.14,-2.47
43.801,107.49,6.89,-2.24
43.889,107,9.32,-0.79
43.99,106.33,11.29,1.15
44.091,105.76,12.15,1.79
44.187,105.48,13.33,2.67
44.288,105.23,14.38,3.6
44.389,105.54,15.25,3.4
44.487,104.75,14.16,3.16
44.588,104.4,13.19,2.59
44.688,104.01,10.52,1.13
44.788,103.71,7.56,-0.98
44.888,103.2,3.95,-2.36
44.986,103.28,1.87,-3.41
45.087,103.36,-1.14,-5.51
45.186,103.15,-3.38,-6.8
45.287,103.74,-5.56,-8.43
45.386,103.62,-7.98,-10.42
45.486,102.15,-11.06,-12.25
45.586,101.22,-13.7,-13.33
45.686,101.1,-13.88,-13.64
45.783,102.35,-11.31,-12.03
45.886,102.37,-11.39,-14.35
45.987,102.51,-12.73,-14.86
46.085,102.5,-13.46,-16.61
46.185,101.38,-15.16,-17.72
46.285,100.69,-16.47,-17.98
46.384,99.96,-18.11,-18.28
46.483,99.35,-19.74,-18.61
46.584,98.21,-20.42,-19.32
46.684,98,-19.56,-18.18
46.783,98.27,-18.16,-17.99
46.883,99.21,-16.03,-17.63
46.983,100.31,-13.21,-16.29
47.083,101.85,-10.62,-15.35
47.182,102.89,-8.43,-14.68
47.282,103.76,-6.87,-13.96
47.381,104.42,-5.44,-13.48
47.482,104.55,-4.87,-14.19
47.582,104.12,-6.97,-16.32
47.681,102.19,-10.66,-19.02
47.784,101.65,-12,-19.96
47.881,100.92,-12.83,-19.8
47.981,100.48,-12.16,-20.18
48.08,101.11,-11.3,-19.54
48.178,100.8,-10.19,-18.61
48.28,100.21,-9.29,-18
48.38,99.11,-8.15,-16.2
48.48,99.77,-6.42,-15.64
48.578,99.84,-6.71,-17.85
48.678,99.63,-9.52,-20.2
48.781,98.95,-12.29,-22.37
48.88,97.69,-14.73,-22.94
48.979,97.1,-15.07,-22.88
49.08,97.28,-14.06,-22.33
49.179,97.15,-13.5,-22.23
49.279,97.94,-12.23,-21.8
49.379,98.57,-10.62,-21.96
49.479,99.04,-8.85,-21.27
49.578,99.41,-6.84,-20.94
49.678,99.04,-6.7,-20.37
49.778,98.1,-8.99,-21.74
49.878,96.86,-11.76,-23.52
49.977,96.67,-12.91,-24.33
50.078,96.83,-12.93,-24.87
50.178,97.71,-10.92,-23.75
50.277,98.5,-8.98,-23.52
50.377,98.87,-7.73,-22.88
50.476,98.4,-8.79,-22.7
50.576,97.34,-10.97,-23.23
50.676,96.52,-12.7,-23.27
50.777,96.48,-13.12,-23.14
50.873,97.3,-12.32,-22.55
50.975,98.45,-11.16,-21.98
51.074,98.87,-10.24,-21.46
51.175,99.4,-9.71,-21.1
51.275,99.89,-9.05,-20.5
51.371,100.47,-8.26,-19.77
51.473,100.58,-6.7,-18.8
51.572,101.31,-4.34,-17.48
51.673,102.04,-1.78,-16.95
51.773,102.35,-0.12,-16.59
51.873,102.1,1.75,-15.97
51.968,101.93,3.45,-15.05
52.07,101.79,5.31,-14.72
52.171,101.67,6.96,-14.44
52.272,101.94,8.34,-14.14
52.372,101.69,8.23,-13.83
52.47,100.97,7.05,-13.91
52.571,100.84,6.2,-13.91
52.671,100.76,5.29,-14.17
52.771,100.76,4.99,-14.29
52.872,100.77,4.48,-14.47
52.969,100.85,3.81,-14.65
53.07,100.97,3.1,-14.8
53.17,101,2.49,-15.16
53.269,100.92,1.72,-15.67
53.368,100.91,0.83,-15.52
53.469,100.69,-0.65,-15.79
53.569,100.66,-2.29,-15.94
53.668,100.36,-3.95,-16.57
53.764,100.18,-4.78,-16.85
53.863,100.4,-4.57,-16.91
53.963,100.34,-4.32,-16.68
54.065,100.05,-4.6,-17.1
54.164,99.43,-5.73,-17.06
54.262,98.48,-7.82,-17.13
54.363,98.1,-9.05,-17.88
54.462,97.71,-9.71,-18.2
54.562,97.63,-9.32,-18.32
54.662,98.05,-8.08,-18.4
54.762,98.27,-7.43,-18.37
54.862,99.23,-6.22,-18.51
54.962,100.26,-5.36,-18.74
55.061,100.72,-4.66,-19.67
55.161,100.27,-5.36,-19.31
55.261,99.69,-6.24,-19.77
55.36,99.55,-6.86,-19.82
55.46,99.13,-6.51,-19.9
55.56,98.68,-6.51,-20
55.661,98.71,-6.16,-19.45
55.76,98.67,-5.94,-19.06
55.86,98.8,-5.34,-18.71
55.959,99.14,-5.22,-18.58
56.059,99.2,-5.33,-19
56.159,98.98,-5.57,-19.29
56.258,98.41,-6.35,-19.58
56.358,97.96,-6.76,-19.64
56.458,97.82,-6.69,-19.23
56.558,97.38,-6.43,-19.34
56.657,97.17,-6.47,-19.24
56.757,97.37,-5.68,-18.77
56.857,97.33,-5.27,-18.75
56.957,97.66,-4.77,-18.98
57.056,97.91,-4.89,-19.22
57.156,97.96,-5.17,-19.51
57.255,97.59,-5.75,-19.88
57.355,97.17,-6.5,-20.12
57.456,97,-7.58,-20.38
57.555,97.01,-8.36,-20.8
57.655,97.15,-8.13,-20.92
57.755,97.7,-7.34,-21.02
57.96,97.94,-6.76,-21.14
57.965,98.68,-5.53,-21.05
58.453,99.57,-4.45,-20.56
58.456,99.37,-4.47,-20.59
58.461,99.99,-4.31,-21.22
58.464,99.81,-4.84,-22.12
58.466,99.24,-5.15,-23.03
58.555,98.75,-5.35,-23.3
182.085,98.31,-5.54,-22.92
182.174,98.56,-4.39,-22.3
182.176,98.66,-3.36,-21.81
182.179,98.44,-2.23,-20.94
182.181,98.63,-0.36,-20.14
182.183,98.83,2,-17.28
182.184,99.92,5.87,-14.52
182.199,100.12,5.53,-16.28
182.201,100.25,5.69,-15.78
182.202,99.82,4.49,-16.08
182.226,98.65,1.77,-16.45
182.227,97.57,-1.19,-18.75
182.23,97.19,-2.08,-18.46
182.232,97.2,-1.95,-17.92
182.235,97.69,-1.31,-18.26
182.236,97.45,-1.26,-19
182.263,97.64,-1.37,-19.42
182.264,97.92,-1,-19.89
182.266,97.66,-0.99,-20.11
182.268,97.17,-0.65,-20.44
182.278,96.99,-0.85,-20.1
182.28,97.03,-0.4,-19.39
182.283,97.45,0.05,-18.65
182.285,97.88,-0.04,-18.52
182.288,98.91,-0.46,-18.8
182.312,99.45,-2.1,-19.4
182.314,99.83,-3.95,-19.94
182.317,99.75,-6.8,-20.44
182.319,98.24,-9.51,-21.58
182.325,97.8,-10.09,-21.77
182.326,97.93,-8.74,-21.11
182.329,98.59,-6.31,-20.19
