time,yaw,pitch,roll
0,57.06,7.79,1.15
0.099,57.94,8.53,0.31
0.198,59.67,9.69,0.12
0.298,59.22,10.7,1.91
0.397,60.78,9.73,0.57
0.497,61.77,10.66,-1
0.596,63.4,12.77,-2.55
0.695,64.53,15.54,-3.73
0.795,65,10.89,-3.82
0.894,64.88,11.59,-3.68
0.994,63.91,12.68,-0.97
1.093,62.89,11.95,-0.12
1.193,62.28,12.29,0.05
1.292,58.98,10.74,-3.16
1.391,59.1,11.82,-6.21
1.491,58.27,13.07,-6.44
1.59,58.78,13.63,-5.59
1.689,57.08,13.65,-7.86
1.789,56.23,10.62,-7.79
1.888,55.77,8.91,-5.84
1.988,54.35,11.11,-5.3
2.087,56.99,12.44,-1.92
2.187,57.58,11.31,-0.26
2.286,59.66,15.06,-0.47
2.385,55.99,15.32,-1.48
2.485,51.21,10.18,-4.46
2.584,51.16,11.24,-4.11
2.683,48.38,11.92,-4.93
2.783,46.88,11.83,-4.82
2.882,46.43,12.79,-5.45
2.982,46.89,14.43,-6.26
3.081,46.39,15.14,-7.44
3.181,45.48,13.64,-6.11
3.28,46.54,13.84,-6.38
3.379,47.8,13.26,-7.53
3.479,48.11,10.75,-6.9
3.578,52.03,11.51,-6.07
3.677,51.83,12.36,-5.24
3.777,50.93,11.06,-6.71
3.876,50.58,12.6,-7.51
3.969,51.02,12.01,-1.44
4.069,50.17,10.56,-6.43
4.168,44.55,9.74,-6.58
4.268,43.53,9.72,-3.93
4.367,43.52,10.52,-7.93
4.473,41.32,12.76,-5.57
4.572,42.58,16.87,-8.43
4.671,38.98,13.92,-5.03
4.771,37.71,11.01,-3.2
4.87,38.83,9.52,-3.45
4.97,38.75,10.64,-2.9
5.069,39.92,10.93,-3.09
5.168,38.88,10.08,-2.01
5.269,43.05,9.06,-5.72
5.367,38.78,6.76,-7.29
5.467,37.41,5.89,-5.61
5.566,39.74,5.24,-8.01
5.665,38.52,8.55,-8.49
5.765,39.38,8.76,-8.87
5.864,42.09,8.59,-8.7
5.964,44.56,9.12,-9.12
6.063,44.94,10.37,-10.69
6.162,44.38,11.16,-9.16
6.262,47.08,10.26,-9.15
6.362,45.66,7.98,-8.66
6.461,44.67,6.91,-7.42
6.56,43.91,6.59,-6.94
6.66,43.18,6.3,-5.2
6.759,43.07,6.24,-6.56
6.858,41.83,7.68,-6.74
6.958,40.82,7.48,-5.69
7.057,40.24,6.62,-4.04
7.156,40.01,5.88,-3.32
7.257,39.99,5.37,-3.52
7.355,40.22,4.91,-5.78
7.455,40.4,5.96,-8.18
7.554,42.37,7.53,-9.04
7.653,42.68,8.6,-8.98
7.753,42.63,7.93,-6.16
7.852,45.12,7.02,-5.88
7.952,46.47,7.78,-6.67
8.045,47.18,9.87,-8.87
8.144,45.44,11.41,-9.23
8.244,46.14,10.67,-9.32
8.343,47.49,11,-7.86
8.443,46.4,9.38,-3.02
8.542,48.18,7.87,-1.55
8.641,48.93,8.6,-0.56
8.741,47.69,4.03,0.74
8.84,46.56,3.41,1.71
8.94,46.7,4.53,1.77
9.039,44.12,4.95,4.28
9.138,43.96,3.61,4.01
9.238,44.87,4.37,4.45
9.338,43.99,4.6,3.05
9.437,43.11,4.03,2.12
9.536,46.1,5.99,3.44
9.635,46.1,6.12,4.27
9.735,46.8,5.42,4.79
9.834,47.6,5.99,5.07
9.934,47.42,5.86,3.95
10.033,47.03,5.86,3.39
10.132,48.93,6.86,2.22
10.232,50.24,9.05,1.11
10.332,52.23,10.35,-1.16
10.431,52.54,9.12,-3.48
10.53,50.1,9.57,-1.07
10.63,50.5,8.59,-3.11
10.729,50.93,9.34,-4.24
10.828,51.15,10.82,-3.96
10.927,51.64,10.82,-4.41
11.027,50.95,9.9,-5.71
11.126,49.87,9.59,-5.01
11.226,50.52,9.11,-4.47
11.326,50.98,9.27,-4.29
11.425,51.94,8.49,-1.95
11.524,51.39,8.95,-0.92
11.623,55,9.56,-2.56
11.723,58.71,13.66,-4.17
11.822,54.49,14.2,-9.95
11.922,44.89,18.28,-16.99
12.021,44.26,15.87,-19.26
12.12,45.23,16.77,-21.67
12.219,41.16,19.66,-23
12.319,36.47,22.27,-23.48
12.425,34.67,25.11,-22.34
12.524,37.46,28.97,-27.08
12.624,39.5,29.36,-20.1
12.723,45.02,28.43,-16.41
12.822,46.37,21.45,-10.3
12.922,49.65,21.68,-11.57
13.021,51.35,21.42,-12.02
13.121,53.57,21.23,-11.33
13.22,55.78,21.01,-9.93
13.319,56.2,19.53,-7.73
13.419,56.25,17.43,-5.07
13.518,56.67,17.05,-3.07
13.618,55.95,16.41,-1.47
13.717,55.23,16.04,-0.26
13.817,55.08,16.22,0.92
13.916,54.29,16.72,2.15
14.015,53.42,16.17,3.89
14.115,52.8,15.68,4.06
14.214,52.49,14.96,3.18
14.313,51.96,14.15,1.47
14.414,51.66,12.93,0.04
14.512,51.8,13.23,-2.31
14.612,52.54,13.98,-3.8
14.711,52.71,13.93,-4.65
14.81,53.84,13.53,-4.54
14.91,53.74,12.33,-3.59
15.01,53.62,11.59,-3.36
15.109,53.21,11.11,-3.35
15.208,52.59,10.57,-3.69
15.307,52.43,10.54,-3.5
15.407,51.92,10.68,-3.22
15.506,51.75,10.47,-2.58
15.606,51.85,10.23,-2.27
15.705,51.93,10.43,-2.04
15.804,51.35,10.31,-2.11
15.904,51.59,10.1,-2.06
16.003,51.8,10.2,-2.11
16.103,50.83,10.22,-2.23
16.202,50.19,10.17,-1.91
16.301,49.77,10.04,-1.24
16.401,49.4,10.72,-0.38
16.501,49.33,11.19,0.59
16.6,48.21,10.31,1.61
16.699,47.78,9.66,2.2
16.799,48.14,9.63,2.46
16.898,47.88,9.9,2.25
16.997,47.98,10.28,2.11
17.097,48.61,10.58,1.98
17.196,49.14,10.83,1.25
17.296,49.58,11.27,0.99
17.395,50.83,11.58,1.32
17.495,52.03,11.38,1.58
17.594,52.75,11.15,1.27
17.693,52.84,10.84,1.15
17.793,52.34,10.37,1.24
17.892,51.79,10.2,1.98
17.991,50.88,9.41,2.93
18.091,49.82,8.29,3.58
18.19,48.58,6.9,3.89
18.289,48.29,6.76,4.31
18.389,48.49,6.51,4.45
18.489,48.63,7.19,4.44
18.588,48.31,7.56,3.89
18.687,48.11,7.88,3.37
18.787,47.95,8.13,3.1
18.886,47.6,8.15,3.42
18.985,47.4,8.07,4.11
19.085,48.76,8.45,2.93
19.184,49.04,8.81,2.71
19.283,49.84,9.19,1.9
19.383,51.02,9.78,0.84
19.483,51.68,10.19,-0.7
19.582,52.23,11.1,-2.56
19.681,52.22,12.23,-3.28
19.781,52.61,12.45,-3.54
19.88,54.64,12.85,-4.48
19.979,55.69,13.74,-3.82
20.079,55.57,12.75,-3.5
20.178,54.56,10.71,-3.86
20.277,53.28,9.8,-2.64
20.377,52.4,9.41,-1.23
20.476,51.27,9.25,0.65
20.577,49.89,8.3,2.37
20.675,49.08,7.72,3.69
20.774,47.97,7,4.05
20.874,46.57,6.28,4.25
20.973,45.83,6.22,4.25
21.073,46.07,6.83,4.93
21.172,47.43,6.78,5.14
21.271,48.9,7.05,4.75
21.371,49.34,7.33,4.62
21.47,49.05,7.17,4.68
21.57,48.62,6.64,4.54
21.669,48.6,5.96,4.8
21.768,48.52,5.83,5.37
21.868,48.57,5.72,5.58
21.967,48.41,5.77,5.47
22.067,48.09,5.51,5.14
22.166,47.83,5.98,4.57
22.265,47.25,6.38,3.72
22.365,47.3,7.59,3.22
22.464,48.26,8.54,2.09
22.564,49.24,9.38,0.74
22.663,50.46,9.08,-0.42
22.762,52.93,9.46,-1.43
22.862,54.57,9.71,-1.55
22.961,55.59,9.43,-1.45
23.061,55.34,8.93,-1.71
23.16,54.14,8.34,-1.14
23.26,52.46,7.1,0.43
23.359,50.53,5.81,2.1
23.458,48.34,4,2.34
23.558,47.1,3.13,1.37
23.658,47.02,4.49,-0.82
23.756,47.34,7.03,-3.54
23.856,48.22,8.79,-5.84
23.955,50.65,8.21,-7.01
24.055,54.72,8.32,-8.11
24.154,55.82,8.39,-8.21
24.254,57.26,8.61,-9.27
24.353,57.57,9.61,-9.81
24.452,56.84,9.66,-9.74
24.552,57.41,8.91,-9.1
24.652,57.07,7.28,-7.87
24.75,56.73,7.39,-6.27
24.85,55.04,5.94,-6.2
24.949,51.86,4.71,-4.73
25.049,46.94,5.22,-1.88
25.148,45.86,6.36,-1.12
25.248,46.74,7.98,-1.4
25.347,52.07,10.56,-4.53
25.446,48.55,9.17,-11.13
25.546,39.93,4.78,-10.07
25.646,40.55,2.37,-7.9
25.744,41.5,1.77,-3.46
25.844,42.74,0.8,2.01
25.943,47.04,3.48,0.34
26.043,55.3,3.62,-16.04
26.142,57.68,-2.18,-16.8
26.242,62.16,-2.39,-11.7
26.341,66.64,8.72,-6.77
