time,yaw,pitch,roll
0,92.749,-10.74,1.798
0.101,92.656,-10.74,1.798
0.121,92.656,-10.74,1.798
0.213,91.818,-11.692,2.161
0.303,92.058,-11.692,2.161
0.321,92.058,-11.692,2.161
0.424,92.131,-11.605,2.109
0.502,92.499,-11.605,2.109
0.521,92.499,-11.605,2.109
0.635,91.621,-12.759,3.135
0.701,92.04,-12.759,3.135
0.721,92.04,-12.759,3.135
0.847,91.717,-13.725,5.71
0.902,91.784,-13.725,5.71
0.921,91.784,-13.725,5.71
1.058,92.095,-13.578,6.612
1.104,91.949,-13.578,6.612
1.121,91.949,-13.578,6.612
1.27,91.07,-14.095,4.62
1.302,90.917,-14.095,4.62
1.323,90.917,-14.095,4.62
1.482,90.157,-14.261,2.069
1.502,90.018,-14.261,2.069
1.523,90.018,-14.261,2.069
1.693,91.303,-13.041,2.403
1.701,90.886,-13.041,2.403
1.721,90.886,-13.041,2.403
1.902,90.049,-13.041,2.403
1.904,92.311,-10.568,0.437
1.922,92.311,-10.568,0.437
2.101,91.827,-10.568,0.437
2.117,98.169,-4.963,-3.101
2.122,98.169,-4.963,-3.101
2.302,97.796,-4.963,-3.101
2.322,97.796,-4.963,-3.101
2.328,105.084,-0.615,-10.328
2.501,107.297,-0.615,-10.328
2.522,107.297,-0.615,-10.328
2.54,115.674,5.453,-11.257
2.702,119.839,5.453,-11.257
2.722,119.839,5.453,-11.257
2.751,120.575,2.095,-17.495
2.902,127.553,2.095,-17.495
2.921,127.553,2.095,-17.495
2.964,126.554,0.011,-19.093
3.101,135.239,0.011,-19.093
3.121,135.239,0.011,-19.093
3.176,125.831,-7.521,-17.961
3.301,136.213,-7.521,-17.961
3.322,136.213,-7.521,-17.961
3.386,131.59,-12.265,-18.526
3.501,141.839,-12.265,-18.526
3.521,141.839,-12.265,-18.526
3.598,144.784,-12.499,-21.958
3.701,153.422,-12.499,-21.958
3.721,153.422,-12.499,-21.958
3.809,153.46,-10.844,-20.963
3.901,160.325,-10.844,-20.963
3.921,160.325,-10.844,-20.963
4.022,160.124,-11.083,-20.814
4.101,165.645,-11.083,-20.814
4.121,165.645,-11.083,-20.814
4.233,164.161,-11.909,-19.006
4.301,168.312,-11.909,-19.006
4.321,168.312,-11.909,-19.006
4.445,169.378,-11.94,-20.568
4.501,171.822,-11.94,-20.568
4.521,171.822,-11.94,-20.568
4.658,171.336,-10.806,-19.633
4.702,172.224,-10.806,-19.633
4.722,172.224,-10.806,-19.633
4.869,172.224,-11.662,-19.787
4.902,172.59,-11.662,-19.787
4.928,172.59,-11.662,-19.787
5.081,169.298,-11.095,-14.819
5.101,169.746,-11.095,-14.819
5.122,169.746,-11.095,-14.819
5.292,168.196,-10.076,-12.219
5.301,169.125,-10.076,-12.219
5.322,169.125,-10.076,-12.219
5.503,170.284,-10.076,-12.219
5.504,168.909,-9.995,-10.139
5.521,168.909,-9.995,-10.139
5.702,169.779,-9.995,-10.139
5.716,170.323,-10.294,-11.005
5.721,170.323,-10.294,-11.005
5.902,171.466,-10.294,-11.005
5.927,171.466,-10.294,-11.005
5.928,169.928,-9.984,-8.725
6.102,171.327,-9.984,-8.725
6.121,171.327,-9.984,-8.725
6.139,170.896,-9.444,-8.002
6.302,172.174,-9.444,-8.002
6.323,172.174,-9.444,-8.002
6.352,172.731,-10.164,-8.897
6.503,173.765,-10.164,-8.897
6.521,173.765,-10.164,-8.897
6.563,174.771,-9.925,-10.225
