"time","yaw","pitch","roll"
0,175.995,-5.344,5.688
0.075,178.296,-5.344,5.688
0.094,178.296,-5.344,5.688
0.206,175.489,-2.256,8.157
0.277,175.556,-2.256,8.157
0.293,175.556,-2.256,8.157
0.413,179.288,-0.912,4.984
0.475,179.446,-0.912,4.984
0.493,179.446,-0.912,4.984
0.619,167.8,-7.138,13.967
0.675,168.725,-7.138,13.967
0.693,168.725,-7.138,13.967
0.825,169.616,-10.204,12.605
0.875,170.48,-10.204,12.605
0.893,170.48,-10.204,12.605
1.032,185.018,-2.852,1.104
1.076,184.747,-2.852,1.104
1.093,184.747,-2.852,1.104
1.238,171.263,-2.391,13.087
1.275,171.515,-2.391,13.087
1.293,171.515,-2.391,13.087
1.445,165.211,-10.398,16.612
1.475,165.895,-10.398,16.612
1.494,165.895,-10.398,16.612
1.653,165.649,-19.111,14.094
1.675,166.66,-19.111,14.094
1.693,166.66,-19.111,14.094
1.858,185.698,-4.843,1.205
1.875,184.962,-4.843,1.205
1.893,184.962,-4.843,1.205
2.065,171.023,-5.893,13.709
2.075,171.522,-5.893,13.709
2.095,171.522,-5.893,13.709
2.271,141.44,-21.245,36.169
2.275,143.318,-21.245,36.169
2.293,143.318,-21.245,36.169
2.475,144.885,-21.245,36.169
2.477,175.191,-19.022,10.508
2.493,175.191,-19.022,10.508
2.675,175.21,-19.022,10.508
2.684,183.221,-6.978,3.901
2.693,183.221,-6.978,3.901
2.875,182.644,-6.978,3.901
2.89,168.369,-7.909,18.041
2.893,168.369,-7.909,18.041
3.075,167.205,-7.909,18.041
3.092,167.205,-7.909,18.041
3.098,179.808,-6.295,5.602
3.275,179.296,-6.295,5.602
3.294,179.296,-6.295,5.602
3.304,172.22,-1.172,13.132
3.477,172.232,-1.172,13.132
3.493,172.232,-1.172,13.132
3.511,171.796,-4.609,13.066
3.676,171.503,-4.609,13.066
3.692,171.503,-4.609,13.066
3.717,166.244,-9.069,17.153
3.875,165.182,-9.069,17.153
3.893,165.182,-9.069,17.153
3.923,161.628,-19.409,16.328
4.075,159.885,-19.409,16.328
4.093,159.885,-19.409,16.328
4.13,178.475,-6.5,4.663
4.274,178.185,-6.5,4.663
4.293,178.185,-6.5,4.663
4.336,173.162,-1.135,9.672
4.475,173.318,-1.135,9.672
4.493,173.318,-1.135,9.672
4.542,168.16,-0.903,14.728
4.674,168.891,-0.903,14.728
4.693,168.891,-0.903,14.728
4.749,154.797,-12.366,24.173
4.875,156.195,-12.366,24.173
4.893,156.195,-12.366,24.173
4.959,185.389,-10.185,0.265
5.075,185.613,-10.185,0.265
5.093,185.613,-10.185,0.265
5.161,161.874,-12.779,19.741
5.275,162.594,-12.779,19.741
5.293,162.594,-12.779,19.741
5.367,181.084,-12.429,4.345
5.476,180.839,-12.429,4.345
5.492,180.839,-12.429,4.345
5.576,173.328,-7.109,11.026
5.675,173.536,-7.109,11.026
5.693,173.536,-7.109,11.026
5.782,173.913,-3.232,11.142
5.875,174.366,-3.232,11.142
5.893,174.366,-3.232,11.142
5.987,168.665,-5.11,16.292
6.076,168.992,-5.11,16.292
6.093,168.992,-5.11,16.292
6.194,175.297,-8.251,9.994
6.275,174.697,-8.251,9.994
6.293,174.697,-8.251,9.994
6.403,176.186,-13.356,8.281
6.475,175.432,-13.356,8.281
6.494,175.432,-13.356,8.281
6.607,169.742,0.205,15.343
6.676,169.298,0.205,15.343
6.692,169.298,0.205,15.343
6.813,171.201,0.468,13.462
6.875,170.489,0.468,13.462
