time,yaw,pitch,roll
2020-12-08 12:56:38.6180,-55.5,5.88,-1.87
2020-12-08 12:56:38.7180,-55.67,6.08,-1.83
2020-12-08 12:56:38.8170,-55.69,5.68,-1.75
2020-12-08 12:56:38.9170,-55.65,5.71,-1.63
2020-12-08 12:56:39.0170,-55.69,5.54,-1.54
2020-12-08 12:56:39.1160,-55.75,5.53,-1.35
2020-12-08 12:56:39.2160,-55.79,5.63,-1.14
2020-12-08 12:56:39.3150,-55.8,5.58,-0.96
2020-12-08 12:56:39.4150,-55.9,5.57,-0.59
2020-12-08 12:56:39.5140,-55.95,5.5,-0.7
2020-12-08 12:56:39.6140,-56.19,5.52,-0.9
2020-12-08 12:56:39.7140,-56.41,5.88,-0.58
2020-12-08 12:56:39.8130,-56.82,5.84,-0.52
2020-12-08 12:56:39.9130,-57.18,5.87,-0.46
2020-12-08 12:56:40.0120,-57.55,5.61,-0.76
2020-12-08 12:56:40.1120,-57.55,5.54,-0.65
2020-12-08 12:56:40.2120,-57.9,4.9,-1.08
2020-12-08 12:56:40.3110,-57.87,4.95,-0.94
2020-12-08 12:56:40.4110,-57.79,4.94,-1.13
2020-12-08 12:56:40.5110,-57.84,4.97,-1.23
2020-12-08 12:56:40.6100,-57.7,5.3,-0.9
2020-12-08 12:56:40.7100,-57.49,5.08,-0.81
2020-12-08 12:56:40.8090,-57.55,4.96,-0.67
2020-12-08 12:56:40.9090,-57.5,4.9,-0.49
2020-12-08 12:56:41.0090,-57.4,4.93,-0.19
2020-12-08 12:56:41.1080,-57.62,5.1,-0.15
2020-12-08 12:56:41.2080,-57.87,5.09,-0.25
2020-12-08 12:56:41.3070,-58.21,4.92,-0.35
2020-12-08 12:56:41.4070,-58.5,4.72,-0.56
2020-12-08 12:56:41.5070,-58.6,4.87,-0.48
2020-12-08 12:56:41.6060,-58.58,5.05,-0.46
2020-12-08 12:56:41.7060,-58.76,5.06,-0.58
2020-12-08 12:56:41.8050,-58.85,5.11,-0.55
2020-12-08 12:56:41.9050,-58.85,4.84,-0.65
2020-12-08 12:56:42.0050,-58.88,4.78,-0.59
2020-12-08 12:56:42.1040,-59.12,4.77,-0.61
2020-12-08 12:56:42.2040,-59.28,4.83,-0.37
2020-12-08 12:56:42.3030,-59.44,4.85,-0.28
2020-12-08 12:56:42.4030,-59.54,4.91,-0.2
2020-12-08 12:56:42.5030,-59.84,4.93,-0.19
2020-12-08 12:56:42.6020,-60.04,5.03,-0.05
2020-12-08 12:56:42.7020,-60.21,5.0,-0.07
2020-12-08 12:56:42.8010,-60.32,5.05,-0.16
2020-12-08 12:56:42.9010,-60.43,5.32,-0.11
2020-12-08 12:56:43.0010,-60.71,5.22,-0.22
2020-12-08 12:56:43.1010,-60.59,5.17,-0.37
2020-12-08 12:56:43.2000,-60.43,5.01,-0.31
2020-12-08 12:56:43.3000,-60.42,5.03,-0.55
2020-12-08 12:56:43.4000,-60.48,5.04,-0.48
2020-12-08 12:56:43.4990,-60.58,4.83,-0.78
2020-12-08 12:56:43.5980,-60.68,4.97,-0.52
2020-12-08 12:56:43.6990,-60.79,4.92,-0.47
2020-12-08 12:56:43.7970,-61.0,5.1,-0.47
2020-12-08 12:56:43.8970,-61.06,5.08,-0.5
2020-12-08 12:56:43.9970,-60.93,5.0,-0.54
2020-12-08 12:56:44.0960,-61.02,4.95,-0.43
2020-12-08 12:56:44.1960,-60.87,4.75,-0.26
2020-12-08 12:56:44.2960,-60.8,4.51,0.11
2020-12-08 12:56:44.3950,-60.4,4.74,0.38
2020-12-08 12:56:44.4950,-60.54,4.56,0.36
2020-12-08 12:56:44.5950,-60.74,4.61,0.44
2020-12-08 12:56:44.6940,-61.0,4.23,0.34
2020-12-08 12:56:44.7930,-61.07,4.31,0.34
2020-12-08 12:56:44.8930,-61.1,4.53,0.46
2020-12-08 12:56:44.9930,-61.34,4.54,0.45
2020-12-08 12:56:45.0930,-61.38,4.63,0.31
2020-12-08 12:56:45.1920,-61.38,4.69,0.07
2020-12-08 12:56:45.2920,-61.24,4.83,-0.07
2020-12-08 12:56:45.3910,-61.1,4.67,-0.36
2020-12-08 12:56:45.4910,-61.12,4.65,-0.69
2020-12-08 12:56:45.5900,-61.12,4.43,-0.89
2020-12-08 12:56:45.6900,-60.99,4.71,-0.89
2020-12-08 12:56:45.7900,-60.98,4.89,-0.95
2020-12-08 12:56:45.8890,-61.07,4.97,-0.91
2020-12-08 12:56:45.9890,-61.25,5.07,-0.83
2020-12-08 12:56:46.0880,-61.3,4.92,-0.78
2020-12-08 12:56:46.1880,-61.34,5.01,-0.7
2020-12-08 12:56:46.2880,-61.42,5.01,-0.66
2020-12-08 12:56:46.3880,-61.58,5.0,-0.64
2020-12-08 12:56:46.4870,-61.7,5.04,-0.51
2020-12-08 12:56:46.5870,-61.69,5.11,-0.29
2020-12-08 12:56:46.6870,-61.82,4.7,-0.31
2020-12-08 12:56:46.7860,-61.87,4.69,-0.4
2020-12-08 12:56:46.8860,-61.82,4.74,-0.31
2020-12-08 12:56:46.9850,-61.81,4.82,-0.17
2020-12-08 12:56:47.0850,-61.9,4.8,-0.1
2020-12-08 12:56:47.1850,-62.17,4.63,0.05
2020-12-08 12:56:47.2840,-62.37,4.63,0.14
2020-12-08 12:56:47.3840,-62.49,4.7,0.22
