time,yaw,pitch,roll
0,-55.5,5.88,-1.87
0.1,-55.67,6.08,-1.83
0.199,-55.69,5.68,-1.75
0.299,-55.65,5.71,-1.63
0.399,-55.69,5.54,-1.54
0.498,-55.75,5.53,-1.35
0.598,-55.79,5.63,-1.14
0.697,-55.8,5.58,-0.96
0.797,-55.9,5.57,-0.59
0.896,-55.95,5.5,-0.7
0.996,-56.19,5.52,-0.9
1.096,-56.41,5.88,-0.58
1.195,-56.82,5.84,-0.52
1.295,-57.18,5.87,-0.46
1.394,-57.55,5.61,-0.76
1.494,-57.55,5.54,-0.65
1.594,-57.9,4.9,-1.08
1.693,-57.87,4.95,-0.94
1.793,-57.79,4.94,-1.13
1.893,-57.84,4.97,-1.23
1.992,-57.7,5.3,-0.9
2.092,-57.49,5.08,-0.81
2.191,-57.55,4.96,-0.67
2.291,-57.5,4.9,-0.49
2.391,-57.4,4.93,-0.19
2.49,-57.62,5.1,-0.15
2.59,-57.87,5.09,-0.25
2.689,-58.21,4.92,-0.35
2.789,-58.5,4.72,-0.56
2.889,-58.6,4.87,-0.48
2.988,-58.58,5.05,-0.46
3.088,-58.76,5.06,-0.58
3.187,-58.85,5.11,-0.55
3.287,-58.85,4.84,-0.65
3.387,-58.88,4.78,-0.59
3.486,-59.12,4.77,-0.61
3.586,-59.28,4.83,-0.37
3.685,-59.44,4.85,-0.28
3.785,-59.54,4.91,-0.2
3.885,-59.84,4.93,-0.19
3.984,-60.04,5.03,-0.05
4.084,-60.21,5,-0.07
4.183,-60.32,5.05,-0.16
4.283,-60.43,5.32,-0.11
4.383,-60.71,5.22,-0.22
4.483,-60.59,5.17,-0.37
4.582,-60.43,5.01,-0.31
4.682,-60.42,5.03,-0.55
4.782,-60.48,5.04,-0.48
4.881,-60.58,4.83,-0.78
4.98,-60.68,4.97,-0.52
5.081,-60.79,4.92,-0.47
5.179,-61,5.1,-0.47
5.279,-61.06,5.08,-0.5
5.379,-60.93,5,-0.54
5.478,-61.02,4.95,-0.43
5.578,-60.87,4.75,-0.26
5.678,-60.8,4.51,0.11
5.777,-60.4,4.74,0.38
5.877,-60.54,4.56,0.36
5.977,-60.74,4.61,0.44
6.076,-61,4.23,0.34
6.175,-61.07,4.31,0.34
6.275,-61.1,4.53,0.46
6.375,-61.34,4.54,0.45
6.475,-61.38,4.63,0.31
