time,yaw,pitch,roll
0,-52.7,27.16,-2.34
0.1,-54.49,22.87,3.7
0.199,-58.18,21.92,9.15
0.298,-64.22,22.75,11.4
0.397,-74.71,28.44,6.88
0.497,-82.73,30.83,-3.18
0.597,-85.06,27.74,-13.45
0.696,-83.49,22.45,-16.88
0.796,-89.91,16.73,-9.69
0.896,-93.72,14.33,-11.06
0.995,-95.24,14.12,-12.5
1.095,-98.56,13.01,-9.29
1.194,-103.33,12.97,-5.57
1.293,-105.05,14.71,-3.62
1.393,-105.21,12.51,-3.94
1.493,-105.85,7.75,-1.78
1.592,-105.25,7.82,-1.66
1.691,-104.98,7.88,-0.76
1.791,-103.8,8.23,-0.41
1.89,-103.83,7.24,-0.17
1.99,-103.2,6.51,0.17
2.089,-101.63,5.46,-0.24
2.189,-102.02,3.61,-0.59
2.288,-101.9,3.97,-0.03
2.388,-101.82,5.61,0.72
2.487,-101.55,6.65,0.56
2.587,-101.92,6.27,0.49
2.686,-102.09,5.9,0.05
2.786,-102.93,5.14,0.06
2.885,-104.26,4.71,0.66
2.985,-104.84,5.28,2.32
3.084,-104.76,6.94,2.82
3.184,-106.28,6.78,3.5
3.283,-108.89,7.23,5.72
3.383,-110.58,5.74,4.4
3.482,-112.04,2.56,0.08
3.582,-113.22,0.9,0.33
3.681,-109.67,3.35,1.01
3.781,-109.76,3.16,3.09
3.881,-110.34,3.09,3.31
3.98,-111.71,2.87,3.54
4.074,-111.82,3.61,4.42
4.174,-110.95,4.29,4.19
4.273,-111.26,5.05,4.99
4.373,-110.58,6.32,4.1
4.472,-110.73,6.15,4.06
4.572,-110.6,5.93,3.84
4.675,-110.37,5.75,3.57
4.775,-110.49,5.91,3.82
4.874,-110.26,6.02,3.61
4.974,-110.33,5.71,3.67
5.073,-109.92,6.32,3.98
5.173,-110.31,6.58,4.08
5.272,-111.13,6.23,4.02
5.372,-111.67,6.77,4.36
5.471,-111.54,6.74,4.2
5.571,-111.63,6.62,4.05
5.67,-111.58,6.96,3.93
5.77,-111.74,7.6,4.27
5.869,-111.64,8.07,4.45
5.969,-111.66,7.28,4.08
6.068,-111.57,7.9,4.45
6.168,-111.44,6.74,4.15
6.267,-110.99,6.22,3.66
6.367,-111.03,6.03,3.52
6.466,-111.56,5.93,3.44
6.566,-112.14,5.64,3.6
6.665,-112.42,5.17,3.82
6.765,-112.48,5.03,4.01
6.865,-112.36,5.08,4.2
6.964,-112.11,5.35,4.53
7.063,-111.7,5.2,4.19
7.163,-111.82,4.56,3.76
7.262,-111.73,4.62,3.36
7.362,-111.85,5.03,3.28
7.461,-112.13,5.37,3.29
7.561,-112.5,5.63,3.47
7.66,-112.31,5.59,3.24
7.76,-112.53,5.27,3.07
7.859,-112.37,5.86,2.7
7.959,-112.32,6.15,2.67
8.055,-112.26,5.89,2.31
8.155,-112.42,5.62,2.01
8.254,-112.83,5.9,1.9
8.353,-113.26,6.47,2.37
8.452,-112.45,7.86,2.16
8.552,-112.08,7.5,1.21
8.66,-112.51,6.88,1.42
8.76,-112.44,6.79,1.78
8.859,-112.52,6.57,1.93
8.959,-112.59,6.06,1.76
9.058,-112.58,5.93,1.66
9.158,-113.18,6.42,2.1
9.257,-113.56,6.5,2.25
9.357,-113.67,5.35,2.18
9.457,-113.79,4.85,1.83
9.556,-114.14,5.1,1.88
9.655,-114.38,5.21,1.85
9.755,-114.67,5.05,1.87
9.854,-114.69,5,1.96
9.954,-115.1,5.44,2.43
10.053,-114.53,6.05,2.36
10.153,-114.63,5.57,2.23
10.252,-114.59,5.94,1.97
10.352,-114.52,5.94,1.93
10.451,-114.48,5.98,1.63
10.551,-114.41,6.14,1.67
10.65,-114.38,6.17,1.89
10.75,-114.36,6.16,2.01
10.85,-114.32,6.02,2.21
10.949,-114.13,6.4,2.38
11.048,-114.16,6.2,2.26
11.148,-114.48,5.68,1.96
11.247,-114.76,5.79,1.79
11.347,-115.32,6,2.19
11.446,-115.16,6.31,2.69
11.546,-115.02,6.24,3.02
11.646,-115.13,6.12,3.1
11.745,-115.3,6,3.17
11.844,-115.21,6.06,3.39
11.944,-114.54,6.03,3.09
12.035,-114.88,5.12,2.56
12.134,-114.85,5.38,2.28
12.233,-115.01,5.62,2.55
12.333,-114.68,6.39,2.47
12.433,-115.28,5.69,2.23
12.532,-115.06,5.46,2
12.632,-115.1,5.19,2.03
12.733,-114.83,5.19,2.13
12.832,-114.56,4.96,2.21
12.932,-114.44,4.93,2.19
13.031,-114.66,5.02,2.11
13.13,-114.88,5.07,2.32
13.23,-114.94,5.2,2.48
13.33,-115,5.11,2.47
13.429,-115.29,5.06,2.47
13.529,-115.22,5.18,2.55
13.628,-114.99,5.63,2.65
13.728,-115.02,5.31,2.56
13.827,-114.89,5.19,2.42
13.927,-114.73,5.12,2.28
14.026,-114.61,5,2.21
14.126,-114.98,4.46,2.08
14.225,-114.93,3.81,2.12
14.325,-114.37,3.86,2.17
14.424,-114.15,3.85,2.26
14.524,-113.42,3.82,2.22
14.623,-113.15,2.79,1.81
14.723,-113.41,0.77,0.77
14.822,-113.22,-0.22,-0.34
14.922,-112.76,0.17,-0.07
15.021,-112.79,0.96,0.06
15.12,-112.79,1.3,-0.02
15.22,-112.66,0.57,-1.01
15.32,-113.2,2.21,-4.5
15.419,-112.16,7.23,-6.21
15.519,-112.4,10.27,-5.47
15.618,-112.31,9.62,-1.43
15.718,-107.62,7.02,2.45
15.817,-96.38,8.85,0.39
15.917,-84.31,19.37,-8.76
16.017,-67.09,30.12,-10.62
16.114,-60.74,35.98,-4.06
16.214,-53.34,33.23,-1.67
16.313,-49.26,34.82,-2.73
16.413,-47.8,36.17,-2.39
