time,yaw,pitch,roll
0,8.17,4.89,0.05
0.101,18.48,3.98,0.86
0.201,22.35,7.24,-0.57
0.302,28.1,4.47,-5.47
0.403,33.17,2.97,-7.84
0.503,39.2,3.61,-8.09
0.604,46.23,4.18,-7.49
0.705,52.34,3.38,-5.42
0.805,56.64,3.75,-4.81
0.906,57.44,4.45,-4.37
1.007,57.84,5.47,-5.23
1.107,58.27,5.92,-5.63
1.208,58.55,6.57,-5.86
1.307,58.37,5.63,-5.12
1.407,58.35,4.94,-4.57
1.51,58.44,5.02,-4.18
1.611,58.56,4.87,-4.66
1.711,58.29,4.52,-4.84
1.812,57.87,4.17,-4.12
1.912,57.65,4.37,-4.12
2.013,57.64,3.78,-4.49
2.115,57.98,3.45,-4.68
2.215,58.31,3.41,-4.47
2.316,58.28,3.31,-4.93
2.417,57.96,3.64,-5.35
2.517,57.48,4.16,-5.25
2.618,57.45,4.56,-4.96
2.719,57.53,4.52,-4.24
2.82,57.68,4.24,-3.75
2.92,57.51,4.41,-3.6
3.021,57.86,4.31,-3.59
3.121,57.97,3.92,-3.16
3.222,57.78,3.89,-3.11
3.323,57.85,3.84,-3.12
3.424,58.16,3.97,-3.6
3.524,58.25,3.83,-3.81
3.625,58.53,3.7,-3.86
3.726,58.71,3.81,-4.21
3.826,58.96,3.86,-4.16
3.927,59.05,3.89,-4.1
4.028,59.03,4.31,-4.08
4.128,58.97,4.84,-3.98
4.229,59.1,5.05,-3.62
4.33,59.32,5.1,-3.35
4.431,59.2,5.55,-3.29
4.53,59.28,5.71,-2.9
4.632,59.03,6.15,-2.67
4.733,58.96,5.73,-2.88
4.833,58.99,5.52,-2.52
4.934,59.04,5.35,-2.39
5.035,58.86,5.28,-1.99
5.135,58.68,5.07,-1.87
5.236,58.14,5.13,-1.79
5.336,57.91,5.22,-1.61
5.438,57.87,5.25,-1.43
5.538,58.14,5,-1.26
5.639,58.24,4.77,-1.18
5.739,58.23,4.61,-1.11
5.84,57.91,4.65,-1.05
5.941,57.81,5.26,-1.33
6.042,57.72,5.4,-1.32
6.143,57.83,5.37,-1.23
6.243,57.43,5.44,-1.16
6.344,56.97,6,-0.75
6.444,57.44,5.97,-0.41
6.545,57.69,5.96,-0.5
6.645,57.98,5.98,-0.52
6.746,57.97,6.38,-0.76
6.847,57.92,6.62,-1.04
6.948,58.17,6.7,-1.01
7.049,58.83,6.4,-1
7.149,58.29,6.6,-0.36
7.25,58.04,7.31,-1.3
7.351,57.18,7.15,-1.6
7.451,57.12,6.77,-1.55
7.552,57.76,6.04,-1.58
7.653,58.25,5.73,-1.43
7.753,58.71,5.71,-1.57
7.854,58.29,6.07,-2.07
7.955,58.07,6.5,-2.39
8.055,58.49,6.15,-2.41
8.156,57.92,5.89,-2.31
8.256,57.6,5.89,-2.02
8.357,57.36,6.11,-2.01
8.458,57.07,6.28,-2.24
8.559,57.05,6.52,-1.72
8.659,57.29,6.85,-1.77
8.76,57.27,6.53,-1.83
8.861,57.44,6.12,-2.2
8.962,57.64,5.77,-2.07
9.062,57.55,5.55,-1.9
9.163,57.66,5.79,-1.85
9.264,57.91,5.85,-1.94
9.364,57.95,5.91,-1.81
9.465,58.16,5.79,-1.6
9.566,58.12,5.87,-1.58
9.667,57.97,6,-1.42
9.767,58.07,6.27,-1.46
9.867,58.11,6.16,-1.46
9.967,58.23,6.07,-1.26
10.069,58.23,6.31,-1.21
10.17,58.41,6.37,-1.12
10.271,58.72,6.1,-1.17
10.371,58.87,5.84,-1.1
10.472,58.9,6.07,-0.79
10.573,58.88,6.11,-1.06
10.673,58.49,6.27,-1.13
10.774,58.32,6.4,-1.12
10.875,58.03,6.28,-1.01
10.976,57.94,6.12,-1.15
11.076,57.93,5.95,-1.22
11.177,58,5.92,-1.14
11.278,57.91,6.06,-1.29
11.378,58.13,6.22,-1.69
11.479,58.2,5.88,-1.74
11.579,58.14,5.64,-1.79
11.681,57.95,5.48,-1.74
11.781,57.49,5.65,-1.4
11.882,57.59,5.99,-1.18
11.983,57.99,6.2,-1.21
12.083,58.3,6.23,-1.2
12.184,58.73,5.94,-1.28
12.284,58.92,5.65,-1.39
12.385,58.87,5.59,-1.32
12.486,58.54,5.68,-1.54
12.586,58.29,5.71,-1.49
12.687,58.09,5.68,-1.13
12.788,57.79,5.81,-0.89
12.889,57.83,5.75,-0.66
12.986,57.73,5.53,-0.39
13.088,57.56,5.32,-0.26
13.191,57.31,5.37,-0.28
13.291,57.09,5.47,-0.46
13.392,57.14,5.44,-0.5
13.493,57.34,5.39,-0.57
13.593,57.61,5.23,-0.51
13.694,57.72,5.3,-0.63
13.795,57.87,5.55,-0.57
13.895,58.62,5.75,-0.88
13.996,58.85,5.78,-1.26
14.097,58.93,5.37,-1.26
14.198,58.82,5.21,-1.08
14.299,58.79,5.24,-0.92
14.399,58.68,5.36,-0.92
14.5,58.54,5.42,-1
14.601,58.15,5.47,-1.01
14.701,58.08,5.21,-0.89
14.802,57.78,5,-0.76
14.902,57.34,5.11,-0.87
15.003,56.93,5.42,-1
15.104,56.75,5.49,-1.14
15.204,56.54,5.42,-1.12
15.305,56.43,5.41,-0.93
15.406,56.5,5.27,-0.89
15.506,56.58,4.98,-0.78
15.607,56.42,5.1,-0.9
15.708,56.39,5.35,-0.96
15.808,56.48,5.43,-0.89
15.909,56.63,5.46,-0.93
16.01,56.91,5.37,-0.75
16.111,57.31,5.3,-0.73
16.211,57.76,5.27,-0.79
16.312,58.24,5.49,-0.85
16.413,58.99,5.69,-0.91
16.514,59.16,5.32,-0.73
16.614,59.26,5.49,-1.12
16.715,59.31,5.66,-1.39
16.816,59.24,5.42,-1.19
16.917,59.19,5.34,-1.18
17.017,59.3,5.36,-1.16
17.119,59.41,5.41,-1.42
17.218,59.83,5.09,-1.52
17.319,59.83,5.26,-1.73
17.42,59.65,5.3,-1.54
17.52,59.32,5.21,-1.05
17.621,58.94,5.23,-0.92
17.722,58.52,5.21,-0.93
17.822,58.1,5.34,-0.89
17.923,57.83,5.51,-0.87
18.024,57.64,5.46,-0.59
18.125,57.68,5.45,-0.49
18.225,57.98,5.51,-0.49
18.326,58.13,5.61,-0.62
18.426,58.17,5.54,-0.74
18.527,58.28,5.59,-0.83
18.628,58.33,5.26,-0.83
18.729,58.08,4.8,-0.56
18.829,57.67,5.05,-0.29
18.93,57.54,5.26,0.01
19.031,57.24,5.34,0.23
19.132,56.81,5.65,0.39
19.232,56.58,5.94,0.37
19.333,56.54,5.89,0.52
19.434,56.73,5.92,0.38
19.534,56.88,5.94,0.27
19.635,56.96,5.7,0.24
19.735,56.72,5.52,0.33
19.836,56.35,5.7,0.55
19.937,56.29,6,0.83
20.038,56.19,6.11,1.2
20.138,56.21,5.83,1.69
20.239,55.83,6,1.92
20.339,55.54,6.38,1.64
20.441,55.53,6.32,1.69
20.541,55.39,6.14,1.88
20.642,55.49,6.1,1.82
20.742,55.65,5.99,1.78
20.843,55.82,5.88,1.8
20.944,56.09,5.74,1.79
21.044,56.17,5.7,1.62
21.145,56.41,5.74,1.44
21.246,56.56,5.75,1.22
21.347,56.72,5.47,1.07
21.447,57.02,5.16,0.72
21.548,57.11,4.73,0.7
21.649,57.07,4.72,0.58
21.749,56.54,4.8,0.59
21.85,56.52,5.17,0.59
21.95,56.52,5.04,0.63
22.051,56.45,4.78,0.53
22.152,56.43,4.88,0.99
22.252,56.65,4.88,1.55
22.353,56.26,5.63,1.58
22.454,55.91,5.94,1.51
22.555,55.88,6.26,1.6
22.655,56.18,6.29,1.33
22.756,56.48,5.83,1.19
22.857,56.59,5.74,0.87
22.957,56.67,5.9,0.69
23.058,56.32,5.56,0.86
23.159,56.11,5.37,0.61
23.259,55.67,5.57,0.61
23.36,55.25,5.85,0.51
23.461,55.15,5.65,0.52
23.562,55.52,5.49,0.36
23.662,55.32,4.88,0.46
23.763,54.82,4.62,1.09
23.864,55.33,5.41,0.93
23.965,55.67,5.82,0.9
24.066,55.77,5.73,0.74
24.166,55.91,5.56,0.5
24.267,56.02,5.62,0.25
24.367,55.96,5.42,0.31
24.468,55.67,5.32,0.43
24.569,55.18,5.79,0.36
24.67,54.84,6,0.41
24.77,54.5,6.08,0.42
24.871,54.65,5.97,0.31
24.971,54.69,5.76,0.41
25.072,54.53,5.76,0.39
25.173,54.38,5.83,0.51
25.274,54.18,6.03,0.6
25.374,54.26,5.96,0.5
25.474,54.3,5.78,0.5
25.575,54.33,5.85,0.58
25.676,54.5,5.87,0.64
25.777,54.57,5.91,0.58
25.877,54.49,5.9,0.51
25.978,54.6,6,0.3
26.079,54.54,5.89,0.29
26.18,54.7,5.92,0.34
26.281,54.95,6.03,0.15
26.381,55.29,5.93,-0.11
26.482,55.31,5.81,-0.17
26.582,55.33,5.79,-0.16
26.683,55.33,5.83,-0.27
26.784,55.42,5.84,-0.38
26.884,55.52,5.61,-0.17
26.985,55.84,5.42,-0.32
27.086,55.74,5.67,-0.4
27.187,55.49,5.54,-0.46
27.287,55.1,5.41,-0.24
27.388,55.02,5.65,0.13
27.489,55.28,6.03,0.33
27.589,55.44,6.07,0.25
27.69,55.56,6.01,0.2
27.79,55.78,5.95,0.17
27.891,55.88,5.96,0.11
27.992,55.84,6,-0.2
28.092,55.77,6.05,-0.32
28.194,55.7,5.87,-0.54
28.294,55.63,5.72,-0.83
28.395,55.62,5.53,-0.66
28.495,55.4,5.5,-0.61
28.596,55.03,5.61,-0.58
28.697,54.97,5.78,-0.48
28.798,54.86,5.77,-0.14
28.898,54.82,5.83,-0.33
28.999,54.93,5.92,-0.49
29.1,55.02,5.97,-0.39
29.2,54.93,6.1,-0.53
29.301,54.69,6.23,-0.68
29.401,54.58,6.24,-0.54
29.502,54.62,6.26,-0.44
29.603,54.77,6.1,-0.26
29.704,54.88,5.82,0.09
29.804,54.97,5.83,0.23
29.905,55.05,5.89,0.23
30.006,55.13,5.74,0.28
30.107,55.15,5.56,0.24
30.207,55.16,5.64,0.2
30.308,55.28,5.82,0.27
30.408,55.44,5.8,0.34
30.509,55.68,5.53,0.23
30.61,55.44,5.74,-0.02
30.71,55.15,5.72,0.02
30.811,55.15,5.63,0.27
30.912,55.23,5.57,0.34
31.013,55.46,5.47,0.12
31.114,55.59,5.33,0.02
31.214,55.96,5.27,0.01
31.315,56.03,5.57,-0.12
31.416,56.25,5.93,-0.24
31.516,56.45,5.99,-0.32
31.617,56.62,5.78,-0.17
31.717,56.6,5.83,-0.11
31.818,56.5,5.82,-0.17
31.919,56.21,5.66,0.03
32.02,55.94,5.69,0.15
32.12,55.55,5.91,0.31
32.221,55.22,5.98,0.47
32.322,54.79,5.92,0.43
32.422,54.61,5.93,0.19
